belongs_on_signum,note_text,link_count,certainty,tier
"DR 154","Samma som gjort DR 155",1,true,A_same_hand_resolved
"DR 160","Troligen samma som gjort DR 161",1,false,A_same_hand_resolved
"DR 219","Samma som gjort DR 218",1,true,A_same_hand_resolved
"DR 293","Eventuellt samma som gjort DR 294 och 343",1,false,A_same_hand_resolved
"DR 294","Eventuellt samma som gjort DR 293 och 343",1,false,A_same_hand_resolved
"DR 295","Troligen samma som gjort DR 297",1,false,A_same_hand_resolved
"DR 297","Troligen samma som gjort DR 295",1,false,A_same_hand_resolved
"DR 334","Samma som gjort DR 335",1,true,A_same_hand_resolved
"DR 335","Samma som gjort DR 334",1,true,A_same_hand_resolved
"DR 343","Eventuellt samma som gjort DR 293 och 294",1,false,A_same_hand_resolved
"DR 351","Eventuellt samma som gjort DR 270",1,false,A_same_hand_resolved
"DR 379","Eventuellt samma som gjort DR 372, 380, 387 och 389",1,false,A_same_hand_resolved
"DR 387","Eventuellt samma som gjort DR 372, 379, 380 och 389",1,false,A_same_hand_resolved
"DR 389","Eventuellt samma som gjort DR 372, 379, 380 och 387",1,false,A_same_hand_resolved
"DR 392","Samma som gjort DR 401, 402, 406 och 408",1,true,A_same_hand_resolved
"DR 406","Samma som gjort DR 392, 401, 402 och 408",1,true,A_same_hand_resolved
"DR 408","Samma som gjort DR 392, 401, 402 och 406",1,true,A_same_hand_resolved
"DR 63","Eventuellt samma som gjort DR 68",1,false,A_same_hand_resolved
"DR 69","Eventuellt samma som gjort DR 67",1,false,A_same_hand_resolved
"DR 96","Eventuellt samma som gjort DR 97",1,false,A_same_hand_resolved
"DR AUD1998;302","Förmodligen samma som gjort DR AUD1996;276",1,false,A_same_hand_resolved
"G 208","Samma ristare som gjort G 207.",1,true,A_same_hand_resolved
"Gs 19","Samma som gjort Gs 2.",1,true,A_same_hand_resolved
"IM MM128","Samma som IM MM131.",1,true,A_same_hand_resolved
"IM MM144","Samma ristare som IM MM145",1,true,A_same_hand_resolved
"Ög 235","Samma som gjort Ög 234 ATA 8141/74.",1,true,A_same_hand_resolved
"Ög Hov22-23;25","Samma som gjort Ög Hov24;25.",1,true,A_same_hand_resolved
"Ög Hov24;25","Samma som gjort Ög Hov22-23;25.",1,true,A_same_hand_resolved
"Öl 26","Samma som gjort Öl 27.",1,true,A_same_hand_resolved
"Öl 27","Samma som gjort Öl 26.",1,true,A_same_hand_resolved
"Sm SvS1973;4","Samma som gjort Sm 143.",1,true,A_same_hand_resolved
"Sö 158","Tidigare tolkad som signerad av Traen.",1,true,reading_history
"Sö 198","Samma som gjort Sö 200, 207, U 792",1,true,A_same_hand_resolved
"Sö 324","Troligen samma ristare som gjort Sö 327.",1,false,A_same_hand_resolved
"Sö 332","Troligen samme ristare som gjort Sö 331",1,false,A_same_hand_resolved
"Sö 91","Troligen samma ristare som gjort Sö Fv1986;218.",1,false,A_same_hand_resolved
"U 1015","Troligen samma som gjort U 1017-1024.",1,false,A_same_hand_resolved
"U 1023","Samma som gjort U 1015, 1017-1022, 1024.",1,true,A_same_hand_resolved
"U 1026","Samma som gjort U 1027.",1,true,A_same_hand_resolved
"U 1027","Samma som gjort U 1026.",1,true,A_same_hand_resolved
