efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Björklund","Heléne","S","Blekinge län","1972","Landsting; ledarskapsutbildning","28","härledd 1988→2016","14","14","spann-summa","Gymnasieprogram Handel och kontor, Sölvesborg 88–90. Komvux, Sölvesborg 92–94. Grundskollärarprogrammet SV, SO, Kristianstad 95–98. Ledarprogram för toppolitiker, Sveriges Kommuner och Landsting 13–14. Kvalificerad ledarskapsutbildning, Campus Bommersvik 16.","Säljare Ica Supermarkets klädavdelning, Sölvesborg 90–93. Vikarierande lärare Möllebacksskolan, Sölvesborg 96–98, speciallärare 98–07."
"Brunsberg","Camilla","M","Blekinge län","1972","","8","härledd 1992→2000","27","27","spann-summa, pågående=2025","Gymnasieskola, Kristianstad, slutår 92. Organist och körledare samt solistprogrammet, Musikhögskolan i Malmö, slutår 98. Master in Performance and Literature, Eastman School of Music, Rochester University, USA (Fulbrightstipendiat) 00.","Music Director, First Universalist Church, Rochester, upstate New York 98–00. Teaching assistant, Eastman School of Music, Rochester University 99–00. Organist- och körledare, musikdirektör, Kungliga Karlskrona Amiralitetsförsamling 00–."
"Frohm","Ann-Christine","SD","Blekinge län","1972","Fjärdhundra; Enköping; utbildning; redovisningsassistent","2","härledd 1988→1990","4","4","spann-summa","Grundskola, Fjärdhundra, slutår 88. Gymnasieskola, social service, Westerlundska gymnasiet, Enköping, slutår 90. Högre administrativ utbildning, redovisningsassistent, Västerås.","Vårdbiträde, Enköping/Västerås. Konferensvärdinna, Enköping. Restaurangbiträde, Västerås. Assistent i skolan, Västerås. Djurskötare, Enköping. Städerska, Västerås. Kokerska, Västerås. Oppositionsråd, Västerås kommun 14–18."
"Jomshof","Richard","SD","Blekinge län","1969","lärarexamen; Fördjupning","2","härledd 1997→1999","6","17","spann-summa; 3 politiskt segment borträknat","SO-lärarexamen, Malmö lärarhögskola/Lunds universitet 97. Fördjupning i geografi och historia, Lunds universitet 97–99.","Butiksbiträde, Obs Stormarknad i Helsingborg 88–91. Värnplikt, F 17 Kallinge 91. Klasslärare, år 4, Lerbäckskolan i Lund 99/00. SO-lärare, år 7 och 8, Magnus Stenbocksskolan, Helsingborg 01. Lärare, geografi, filosofi och psykologi, gymnasieskolan Pro Civitas, Växjö 02–05. Politisk sekreterare, Karlskrona kommun 06–10. Politisk sekreterare, landstinget Blekinge 06–10. Partisekreterare Sverigedemokraterna 15–22."
"Manhammar","Magnus","S","Blekinge län","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Bengtsson","Mathias","KD","Dalarnas län","1998","","5","härledd 2017→2022","","4","spann-summa; 1 politiskt segment borträknat","Hagagymnasiet, Borlänge, slutår 17. Glimåkra folkhögskola, slutår 18. Studier på samhällsvetarprogrammet, Högskolan Dalarna, 20–22.","Politisk sekreterare, Region Dalarna, 18-22."
"Carlsson","Crister","M","Dalarnas län","1963","","","Utbildning saknas","","","Anställningar saknas","",""
"Fredholm","Kajsa","V","Dalarnas län","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Giertz","Rasmus","SD","Dalarnas län","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Gille","Sara","SD","Dalarnas län","1981","","","inga årtal","","","inga daterade spann","Omvårdnadsprogrammet, Gimo bruksgymnasium, Gimo. Utbildad undersköterska.","Arbetat inom vården med hemtjänst, äldreboenden, nattpatrull, demensboende samt som personlig assistent. Politisk sekreterare, Region Västernorrland."
"Hedberg","Anna-Lena","SD","Dalarnas län","1973","Barnskötarutbildning.","","inga årtal","","","Anställningar saknas","Barnskötarutbildning. Yrkeshögskola. Medicinsk sekreterare.",""
"Hultqvist","Peter","S","Dalarnas län","1958","","","Utbildning saknas","","","Anställningar saknas","",""
"Höglund","Malin","M","Dalarnas län","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Isacsson","Lars","S","Dalarnas län","1970","","14","härledd 1986→2000","31","31","spann-summa, pågående=2025","Grundskola, Avesta, slutår 86. Gymnasieskola, Avesta, slutår 89. Studier på grundskollärarprogrammet 4-9, Högskolan Dalarna 96–00.","Fastighetsskötare, P. Noredal Fastighetsservice, Bagarmossen 90–92. Elevassistent, Avesta kommun 92–96. Lärare, Avesta kommun 00–."
"Liljeberg","Ulrika","C","Dalarnas län","1969","Jur.kand.; ek.kand.","10","härledd 1988→1998","24","24","spann-summa","Naturvetenskapligt gymnasium, Hagaskolan, Borlänge, slutår 88. Jur.kand., Stockholms universitet 96 och ek.kand. 98.","Projektledare, Småföretagarforum 98–01. Notarie/jurist, Länsrätten, Stockholm 01–05. Jurist, Kammarrätten, Stockholm 05. Åklagare, Åklagarkammaren Falun 05–08. Kommunstyrelsens ordförande, Leksand 08–22."
"Olsson","Marie","S","Dalarnas län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Skalberg Karlsson","Jesper","M","Gotlands län","1993","Civilingenjörsprogrammet","2","härledd 2012→2014","7","7","spann-summa","Gymnasieskola, Naturvetenskapligt program, Visby, slutår 12. Civilingenjörsprogrammet i industriell ekonomi, Kungliga tekniska högskolan 14–.","Diskplockare, Hamnplan 5 11–13. Bartender, Tott Hotell 13. Reparatör, Nikab Sthlm AB 13–14. Kommunikatör, Nya Moderaterna 14. Regionråd 18–22."
"Westerén","Hanna","S","Gotlands län","1981","Fil.mag.","7","härledd 2000→2007","24","24","spann-summa, pågående=2025","Gymnasieskola, Visby, slutår 00. Fil.mag. europeisk historia, Högskolan på Gotland 07.","Försäkringskassan 01–."
"André","Lili","KD","Gävleborgs län","1970","Kandidatexamen","13","härledd 1989→2002","26","26","spann-summa","Gymnasieskola, Gävle, slutår 89. Kandidatexamen, Högskolan i Gävle, slutår 02.","Fritidsledare, Fritidsgården Humlan, Gävle 89–90. Postkassör, Gävle 91–93. Postsorterare, Gävle 94–97. Anställd vid Högskolan i Gävle 02–18. Samverkanskoordinator, KTH, Stockholm 18–20. Processledare innovation, Future Position X, Gävle 20–22."
"Backeskog","Sanna","S","Gävleborgs län","1985","","6","härledd 2004→2010","11","20","spann-summa, pågående=2025; 1 politiskt segment borträknat","Gymnasieskola, teaterlinjen, Vasaskolan, Gävle, slutår 04. Hälsopedagogprogrammet, Högskolan i Gävle, slutår 10.","Telefonförsäljare, Call-UP 04–06. Butiksbiträde, Time närbutik, Gävle 07–12. Ombudsman, SSU Gävleborg 12–15. Verksamhetsutvecklare, Hyresgästföreningen region Aros, Gävle 15–16. Ombudsman, Socialdemokraterna i Gävleborg 16–."
"Beckman","Lars","M","Gävleborgs län","1967","","3","härledd 1983→1986","34","34","spann-summa, pågående=2025","Gymnasieskola, ekonomisk linje, Björknässkolan Boden 83–86.","Master Foods AB 89–95. Representant, Mix Megapol 95–99. Säljchef, Gävle-Dala NRJ 00–01. Försäljningsdirektör, Föreningen Svenskt Näringsliv 02–. Regionchef/delägare, Nordiska Kvalitetspooler AB 07–."
"Gonzalez Westling","Samuel","V","Gävleborgs län","1983","","2","härledd 2002→2004","17","17","spann-summa, pågående=2025; 1 politiskt segment borträknat","Allmän linje, Axevalla folkhögskola, Axvall, slutår 02 Spanska, Universidad de Salamanca, Salamanca, Spanien 04.","Produktionsarbetare, Autoflator AB, i Vårgårda 03. Produktionsarbetare, TA Hydronics AB, i Annelund 05. Produktionsarbetare, ACT produkter AB, i Alingsås 06. Personlig assistent, Hofors kommun, Hofors 08. Brevbärare, Posten AB/PostNord AB, Hofors/Sandviken 08–(tjänstledig). Politisk sekreterare, Vänsterpartiet Gävle, Gävle 15–17 Politisk sekreterare, Vänsterpartiet Dalarna, Borlänge/Falun 15–22"
"Hedlund","Roger","SD","Gävleborgs län","1979","","3","härledd 1995→1998","13","15","spann-summa; 2 politiskt segment borträknat","Industriprogrammet Parkskolan, Sandviken 95–98.","Industrirobotoperatör, Sandvik AB, Sandviken 98–10 och 12–13. Politisk sekreterare, riksdagen, Stockholm 10–11. Politisk sekreterare, Landstinget Gävleborg, Gävle 13–14."
