Indskrifter
Filtrér ... (1052)
Signatur	Translitteration	Dansk oversættelse	Engelsk oversættelse
Bh 1	Indskriftdel 1, Side A (kun)iltr : l(e)t : r(e)isa : st(e)n : þ(e)n(sa) : ef Side B tir : auþbiarn : bonta : sin : kristr : Side C hialbi : siolu : auþbiarnar : i lus : auk : bratis Indskriftdel 2, Side A kristr : hialbi : siolu : (auþ) Side D biarnar : auk : ku(niltar) Side C : auk : santa mikel : i lius : auk : baratis	Gunhild lod rejse denne sten efter Ødbjørn, sin mand. Kristus hjælpe Ødbjørns sjæl i lys og paradis. Kristus og Sankt Michael hjælpe Ødbjørn og Gunhilds sjæl i lys og paradis.	Gunnhildr had this stone raised in memory of Auðbjǫrn, her husband. Christ help Auðbjǫrn's soul into light and paradise. Christ and Saint Michael help the souls of Auðbjǫrn and Gunnhildr into light and paradise.
Bh 10	...r : let ...t : su... | ...uþ : halb... auk : ku...	... lod ...(Gud) hjælpe ... og (Guds moder).	... had ... May [God] help ... and [God's mother].
Bh 11	Side A ...r(æ)anæ(t)in(r)(o) | ...(t)isattæba(-)r | ...auitslu(m) Side B ...(t)(i)(a)(i)a-(l)(-)- : o(k) | ...ri-(t)ia(k)(u)un | ...(n)o--(k)n(t)ir(d)uæln	Utolket.	...
Bh 12	... (f)þu : sin : uk : muþ : sina	... sin far og sin mor.	... his father and his mother.
Bh 13	Side A ...(i)R (:) r... Side B ...(k)a (:) b...	Indskriften helt fragmentarisk.	...
Bh 14	tnb(m)	Uden sproglig mening.	...
Bh 15	... þurkil : auk : alfkil : r(e)(s)... ...(e)n : þina : eftiR : eykil : faþur : ...	... Thorkil og Alvkil rejste denne sten efter Økil/Øthkil, fader ...	... Þorkell and Alfkell raised this stone in memory of Eykell/Auðkell, father ...
Bh 16	...-a-- (:) (l)itu : h-(-)- : s(t)ain : eftiR : þurfast : bruþur | sin | auk : kuþki	... lod hugge stenen efter Thorfast, deres broder, og Gudke.	... had the stone cut in memory of Þorfastr, their brother, and Guðki.
Bh 17	asbiarn : lit : rita stain iftiR : butirþu : kunu : sina : kuþ : litin : ant : i	Esbern lod rejse stenen efter Botfrid sin kone. Gud lette (hendes) ånd for evigt.	Ásbjǫrn had the stone erected in memory of Bótfríðr, his wife. God relieve her spirit eternally.
Bh 18	Side A siu(b)-(-) | ora (:) (þ)(t)(i) | am (:) (g)or(-) Side B ...	... ora(?) ...	... ora(?) ...
Bh 19	Side A -ku- | ----(-) | -(k)- Side B ...--- | --þa- | (f)-(-)(m)- Side C ...f(t)	Indskriften er for ødelagt til at kunne tolkes.	...
Bh 2	: brune : auk : þeiR : bruþr : let... eftiR : þurlak : foþur : sin : auk : eskiR : bruþur : sin :	Brune og hans brødre/bror lod ... efter Torlak, deres far, og Esge, deres bror.	Brúni and his brothers/brother had ... in memory of Þorlakr, their father, and Ásgeirr, their brother.
Bh 20	Inderside: æ ku—alm iak s-… guþkunu—runu iak rist a om þæn hælkun(u)…a þors ok þæn grimilika greþ ok þæn grimel…a greþ ok þæn auilika ælf fran þemæriku-…kætilbi-rhu h (þ) kooorrrnnn Yderside: --… st …- fili(u)s æþ i ueritas sbiritus … þ … str … amæn alis falis arfalis -b … --(a)(b)r …-… næ domine amæn … ordin …-an … ngo(r)dan m(a)lkus	...	Inside: On gold metal, I place/sit(?) runes/a rhyme (in runes)(?) that derive/derives from God/the gods I carve/carved on (it)/carved(?) About the giant that derives from hell/is sorcery-skilled(?) and the terrible cry(?) and the terrible cry(?) and the everlasting elf (away) from you(?)… Ketil help(?)/Ketilbjǫrg(?) Horn(?), thorn(?), corn(?). Outside: … the Son and of the true Spirit … Amen. Alis, Falis, Arfalis … the Lord. Amen. … Gordin, Gordan, Ingordan. Malchus(?).
Bh 21	Yderside: iɴomenom batris æ(þ) …s :… spirit(u)s : saktus : (i)-… as(u) gorda- gordin ingor-an guʟmalme iak sit… (þ)(u)(l)a Inderside: run…st : -æɴ hælkuna þors…ɴ : grimilika : greþ fra þæ m…ær…: sue(n)(i) : magnusi	...	In the name of the Father and … Holy Spirit …… Gordan, Gordin, Ingordan. Into/On/With gold metal, I place/sit skald-runes/a skald-rhyme (in runes) [I carved] the giant that derives from hell/is sorcery-skilled and the terrible cry/sorrow(?) from you(?) … Sveinni Magnus.
Bh 22	...	Indskriften er for ødelagt til at kunne tolkes.	
Bh 23	pa[-]ulus | tofi : gio|erþi	Paulus. Tofi gjorde.	Paulus. Tófi made.
Bh 24	[...(u)ein : lit : hak... | ...b-(u) : s...]	... Sven lod hugge ...	... Sveinn had [this stone] cut ...
Bh 25	Side A ... gor(l)in : g|n : æþ (i)gor(t)... Side B ... | ...	... gordin(?) ... et ingordin(?) ...	... gordin(?) ... et ingordin(?) ...
